episode,global_steps,score,avg_score,epsilon,avg_max_q
1,52,52,0,0.0,1.0,nan
2,35,87,0,0.0,1.0,nan
3,101,188,0,0.0,1.0,nan
4,90,278,0,0.0,1.0,nan
5,98,376,-1,-0.2,1.0,nan
6,84,460,-1,-0.3333333333333333,1.0,nan
7,36,496,1,-0.14285714285714285,1.0,nan
8,38,534,-1,-0.25,1.0,nan
9,54,588,0,-0.2222222222222222,1.0,nan
10,35,623,-1,-0.3,1.0,nan
11,35,658,-1,-0.36363636363636365,1.0,nan
12,60,718,-1,-0.4166666666666667,1.0,nan
13,59,777,-1,-0.46153846153846156,1.0,nan
14,71,848,-1,-0.5,1.0,nan
15,24,872,-1,-0.5333333333333333,1.0,nan
16,145,1017,1,-0.4375,1.0,nan
17,61,1078,-1,-0.47058823529411764,1.0,nan
18,31,1109,-1,-0.5,1.0,nan
19,46,1155,-1,-0.5263157894736842,1.0,nan
20,65,1220,0,-0.5,1.0,nan
21,64,1284,-1,-0.5238095238095238,1.0,nan
22,54,1338,-1,-0.5454545454545454,1.0,nan
23,101,1439,0,-0.5217391304347826,1.0,nan
24,96,1535,-1,-0.5416666666666666,1.0,nan
25,101,1636,0,-0.52,1.0,nan
26,98,1734,-1,-0.5384615384615384,1.0,nan
27,50,1784,-1,-0.5555555555555556,1.0,nan
28,101,1885,0,-0.5357142857142857,1.0,nan
29,62,1947,-1,-0.5517241379310345,1.0,nan
30,92,2039,0,-0.5333333333333333,1.0,nan
31,94,2133,0,-0.5161290322580645,1.0,nan
32,77,2210,0,-0.5,1.0,nan
33,38,2248,-1,-0.5151515151515151,1.0,nan
34,57,2305,1,-0.47058823529411764,1.0,nan
35,66,2371,-1,-0.4857142857142857,1.0,nan
36,101,2472,0,-0.4722222222222222,1.0,nan
37,110,2582,0,-0.4594594594594595,1.0,nan
38,112,2694,1,-0.42105263157894735,1.0,nan
39,71,2765,-1,-0.4358974358974359,1.0,nan
40,67,2832,0,-0.425,1.0,nan
41,26,2858,-1,-0.43902439024390244,1.0,nan
42,56,2914,-1,-0.4523809523809524,1.0,nan
43,33,2947,-1,-0.46511627906976744,1.0,nan
44,69,3016,-1,-0.4772727272727273,1.0,nan
45,101,3117,0,-0.4666666666666667,1.0,nan
46,101,3218,0,-0.45652173913043476,1.0,nan
47,101,3319,0,-0.44680851063829785,1.0,nan
48,101,3420,0,-0.4375,1.0,nan
49,101,3521,0,-0.42857142857142855,1.0,nan
50,28,3549,-1,-0.44,1.0,nan
51,42,3591,-1,-0.45098039215686275,1.0,nan
52,104,3695,0,-0.4423076923076923,1.0,nan
53,101,3796,0,-0.4339622641509434,1.0,nan
54,38,3834,-1,-0.4444444444444444,1.0,nan
55,47,3881,-1,-0.45454545454545453,1.0,nan
56,101,3982,0,-0.44642857142857145,1.0,nan
57,75,4057,-1,-0.45614035087719296,1.0,nan
58,39,4096,-1,-0.46551724137931033,1.0,nan
59,101,4197,0,-0.4576271186440678,1.0,nan
60,58,4255,1,-0.43333333333333335,1.0,nan
61,97,4352,-1,-0.4426229508196721,1.0,nan
62,133,4485,2,-0.4032258064516129,1.0,nan
63,54,4539,-1,-0.4126984126984127,1.0,nan
64,56,4595,-1,-0.421875,1.0,nan
65,52,4647,1,-0.4,1.0,nan
66,40,4687,0,-0.3939393939393939,1.0,nan
67,46,4733,-1,-0.40298507462686567,1.0,nan
68,101,4834,0,-0.39705882352941174,1.0,nan
69,101,4935,0,-0.391304347826087,1.0,nan
70,82,5017,-1,-0.4,1.0,nan
71,26,5043,-1,-0.4084507042253521,1.0,nan
72,41,5084,1,-0.3888888888888889,1.0,nan
73,72,5156,-1,-0.3972602739726027,1.0,nan
74,39,5195,-1,-0.40540540540540543,1.0,nan
75,49,5244,0,-0.4,1.0,nan
76,43,5287,-1,-0.40789473684210525,1.0,nan
77,101,5388,0,-0.4025974025974026,1.0,nan
78,70,5458,0,-0.3974358974358974,1.0,nan
79,35,5493,-1,-0.4050632911392405,1.0,nan
80,101,5594,0,-0.4,1.0,nan
81,68,5662,-1,-0.4074074074074074,1.0,nan
82,80,5742,-1,-0.4146341463414634,1.0,nan
83,33,5775,-1,-0.42168674698795183,1.0,nan
84,101,5876,0,-0.4166666666666667,1.0,nan
85,46,5922,-1,-0.4235294117647059,1.0,nan
86,101,6023,0,-0.4186046511627907,1.0,nan
87,101,6124,0,-0.41379310344827586,1.0,nan
88,48,6172,1,-0.3977272727272727,1.0,nan
89,101,6273,0,-0.39325842696629215,1.0,nan
90,83,6356,2,-0.36666666666666664,1.0,nan
91,38,6394,-1,-0.37362637362637363,1.0,nan
92,101,6495,0,-0.3695652173913043,1.0,nan
93,101,6596,0,-0.3655913978494624,1.0,nan
94,30,6626,-1,-0.3723404255319149,1.0,nan
95,81,6707,-1,-0.37894736842105264,1.0,nan
96,101,6808,0,-0.375,1.0,nan
97,91,6899,-1,-0.38144329896907214,1.0,nan
98,49,6948,-1,-0.3877551020408163,1.0,nan
99,101,7049,0,-0.3838383838383838,1.0,nan
100,85,7134,-1,-0.39,1.0,nan
101,101,7235,0,-0.39,1.0,nan
102,97,7332,1,-0.38,1.0,nan
103,34,7366,0,-0.38,1.0,nan
104,53,7419,-1,-0.39,1.0,nan
105,50,7469,-1,-0.39,1.0,nan
106,74,7543,-1,-0.39,1.0,nan
107,100,7643,-1,-0.41,1.0,nan
108,32,7675,-1,-0.41,1.0,nan
109,37,7712,0,-0.41,1.0,nan
110,75,7787,-1,-0.41,1.0,nan
111,27,7814,-1,-0.41,1.0,nan
112,55,7869,-1,-0.41,1.0,nan
113,32,7901,-1,-0.41,1.0,nan
114,30,7931,0,-0.4,1.0,nan
115,39,7970,-1,-0.4,1.0,nan
116,101,8071,0,-0.41,1.0,nan
117,28,8099,-1,-0.41,1.0,nan
118,74,8173,-1,-0.41,1.0,nan
119,93,8266,0,-0.4,1.0,nan
120,101,8367,0,-0.4,1.0,nan
121,34,8401,-1,-0.4,1.0,nan
122,29,8430,-1,-0.4,1.0,nan
123,101,8531,0,-0.4,1.0,nan
124,101,8632,0,-0.39,1.0,nan
125,60,8692,-1,-0.4,1.0,nan
126,40,8732,-1,-0.4,1.0,nan
127,57,8789,-1,-0.4,1.0,nan
128,99,8888,-1,-0.41,1.0,nan
129,62,8950,-1,-0.41,1.0,nan
130,56,9006,-1,-0.42,1.0,nan
131,68,9074,1,-0.41,1.0,nan
132,45,9119,0,-0.41,1.0,nan
133,158,9277,2,-0.38,1.0,nan
134,82,9359,-1,-0.4,1.0,nan
135,50,9409,-1,-0.4,1.0,nan
136,160,9569,2,-0.38,1.0,nan
137,72,9641,-1,-0.39,1.0,nan
138,75,9716,-1,-0.41,1.0,nan
139,36,9752,-1,-0.41,1.0,nan
140,24,9776,0,-0.41,1.0,nan
141,47,9823,-1,-0.41,1.0,nan
142,42,9865,-1,-0.41,1.0,nan
143,95,9960,2,-0.38,1.0,nan
144,101,10061,0,-0.37,1.0,nan
145,57,10118,0,-0.37,1.0,nan
146,55,10173,0,-0.37,1.0,nan
147,97,10270,-1,-0.38,1.0,nan
148,83,10353,-1,-0.39,1.0,nan
149,55,10408,-1,-0.4,1.0,nan
150,101,10509,0,-0.39,1.0,nan
151,64,10573,-1,-0.39,1.0,nan
152,64,10637,-1,-0.4,1.0,nan
153,101,10738,0,-0.4,1.0,nan
154,70,10808,-1,-0.4,1.0,nan
155,87,10895,-1,-0.4,1.0,nan
156,101,10996,0,-0.4,1.0,nan
157,57,11053,-1,-0.4,1.0,nan
158,101,11154,0,-0.39,1.0,nan
159,36,11190,0,-0.39,1.0,nan
160,55,11245,-1,-0.41,1.0,nan
161,73,11318,0,-0.4,1.0,nan
162,26,11344,-1,-0.43,1.0,nan
163,27,11371,-1,-0.43,1.0,nan
164,79,11450,-1,-0.43,1.0,nan
165,100,11550,0,-0.44,1.0,nan
166,86,11636,-1,-0.45,1.0,nan
167,65,11701,-1,-0.45,1.0,nan
168,104,11805,4,-0.41,1.0,nan
169,54,11859,-1,-0.42,1.0,nan
170,31,11890,-1,-0.42,1.0,nan
171,39,11929,-1,-0.42,1.0,nan
172,45,11974,0,-0.43,1.0,nan
173,43,12017,-1,-0.43,1.0,nan
174,155,12172,2,-0.4,1.0,nan
175,44,12216,-1,-0.41,1.0,nan
176,48,12264,-1,-0.41,1.0,nan
177,74,12338,-1,-0.42,1.0,nan
178,101,12439,0,-0.42,1.0,nan
179,135,12574,5,-0.36,0.9997336000000006,0.26324028
180,46,12620,1,-0.35,0.9995680000000009,0.80314624
181,68,12688,-1,-0.35,0.9993232000000014,1.1943564
182,54,12742,-1,-0.35,0.9991288000000018,1.1742265
183,25,12767,-1,-0.35,0.999038800000002,1.1718863
184,39,12806,-1,-0.36,0.9988984000000023,1.1707222
185,48,12854,-1,-0.36,0.9987256000000027,1.1668235
186,81,12935,-1,-0.37,0.9984340000000033,1.165118
187,163,13098,1,-0.36,0.9978472000000045,1.1648657
188,55,13153,0,-0.37,0.9976492000000049,1.1652038
189,88,13241,-1,-0.38,0.9973324000000056,1.1613002
190,67,13308,-1,-0.41,0.9970912000000061,1.1678505
191,59,13367,0,-0.4,0.9968788000000065,1.1545994
192,43,13410,-1,-0.41,0.9967240000000068,1.1627033
193,102,13512,0,-0.41,0.9963568000000076,1.1660941
194,36,13548,-1,-0.41,0.9962272000000079,1.1634288
195,180,13728,6,-0.34,0.9955792000000092,1.1696372
196,101,13829,0,-0.34,0.99521560000001,1.1659542
197,100,13929,-1,-0.34,0.9948556000000107,1.1659833
198,117,14046,2,-0.31,0.9944344000000116,1.1685133
199,43,14089,-1,-0.32,0.9942796000000119,1.1625617
200,55,14144,-1,-0.32,0.9940816000000123,1.1663923
201,38,14182,-1,-0.33,0.9939448000000126,1.1561489
202,116,14298,0,-0.34,0.9935272000000135,1.1644509
203,37,14335,0,-0.34,0.9933940000000138,1.1597373
204,101,14436,0,-0.33,0.9930304000000145,1.1529398
205,100,14536,-1,-0.33,0.9926704000000153,1.170358
206,101,14637,0,-0.32,0.992306800000016,1.1563048
207,107,14744,3,-0.28,0.9919216000000168,1.1834755
208,66,14810,0,-0.27,0.9916840000000173,1.1909711
209,66,14876,-1,-0.28,0.9914464000000178,1.1808515
210,62,14938,1,-0.26,0.9912232000000183,1.1804576
211,52,14990,-1,-0.26,0.9910360000000187,1.1795416
212,47,15037,0,-0.25,0.990866800000019,1.1918976
213,79,15116,-1,-0.25,0.9905824000000196,1.1635344
214,40,15156,-1,-0.26,0.9904384000000199,1.1565933
215,62,15218,1,-0.24,0.9902152000000204,1.1603134
216,68,15286,3,-0.21,0.9899704000000209,1.1710966
217,101,15387,0,-0.2,0.9896068000000217,1.1880434
218,45,15432,-1,-0.2,0.989444800000022,1.1966753
219,24,15456,-1,-0.21,0.9893584000000222,1.1578915
220,46,15502,-1,-0.22,0.9891928000000225,1.1659667
221,77,15579,0,-0.21,0.9889156000000231,1.1881462
222,49,15628,-1,-0.21,0.9887392000000235,1.1791174
223,43,15671,-1,-0.22,0.9885844000000238,1.1805847
224,47,15718,-1,-0.23,0.9884152000000241,1.1680357
225,50,15768,0,-0.22,0.9882352000000245,1.1689799
226,74,15842,-1,-0.22,0.9879688000000251,1.1954925
227,44,15886,-1,-0.22,0.9878104000000254,1.1875767
228,51,15937,-1,-0.22,0.9876268000000258,1.176303
229,51,15988,0,-0.21,0.9874432000000262,1.1794094
230,64,16052,-1,-0.21,0.9872128000000266,1.1568178
231,101,16153,0,-0.22,0.9868492000000274,1.1862662
232,97,16250,-1,-0.23,0.9865000000000281,1.1810745
233,79,16329,1,-0.24,0.9862156000000287,1.1912405
234,35,16364,-1,-0.24,0.986089600000029,1.1952705
235,42,16406,-1,-0.24,0.9859384000000293,1.1947372
236,55,16461,-1,-0.27,0.9857404000000297,1.1889768
237,57,16518,-1,-0.27,0.9855352000000301,1.1765076
238,38,16556,-1,-0.27,0.9853984000000304,1.1747994
239,95,16651,0,-0.26,0.9850564000000311,1.1871358
240,90,16741,-1,-0.27,0.9847324000000318,1.1856633
241,39,16780,-1,-0.27,0.9845920000000321,1.1990958
242,38,16818,-1,-0.27,0.9844552000000324,1.1953566
243,53,16871,-1,-0.3,0.9842644000000328,1.1910827
244,34,16905,-1,-0.31,0.984142000000033,1.1843206
245,34,16939,0,-0.31,0.9840196000000333,1.1998026
246,51,16990,-1,-0.32,0.9838360000000337,1.185989
247,101,17091,0,-0.31,0.9834724000000344,1.1719687
248,101,17192,0,-0.3,0.9831088000000352,1.1805422
249,82,17274,-1,-0.3,0.9828136000000358,1.1940029
250,51,17325,-1,-0.31,0.9826300000000362,1.1814066
251,51,17376,1,-0.29,0.9824464000000366,1.1824666
252,117,17493,1,-0.27,0.9820252000000375,1.1869128
253,81,17574,-1,-0.28,0.9817336000000381,1.1944175
254,155,17729,1,-0.26,0.9811756000000392,1.183754
255,81,17810,-1,-0.26,0.9808840000000398,1.1915538
256,54,17864,0,-0.26,0.9806896000000402,1.1904745
257,43,17907,-1,-0.26,0.9805348000000406,1.1899288
258,101,18008,0,-0.26,0.9801712000000413,1.1831166
259,52,18060,-1,-0.27,0.9799840000000417,1.1933334
260,80,18140,0,-0.26,0.9796960000000423,1.1808501
261,101,18241,0,-0.26,0.9793324000000431,1.1956123
262,94,18335,-1,-0.26,0.9789940000000438,1.1863446
263,180,18515,7,-0.18,0.9783460000000451,1.1919212
264,31,18546,-1,-0.18,0.9782344000000454,1.1920958
265,101,18647,0,-0.18,0.9778708000000461,1.1929526
266,59,18706,-1,-0.18,0.9776584000000466,1.2156218
267,66,18772,-1,-0.18,0.977420800000047,1.2036052
268,73,18845,-1,-0.23,0.9771580000000476,1.2042398
269,30,18875,-1,-0.23,0.9770500000000478,1.2103997
270,101,18976,0,-0.22,0.9766864000000486,1.1802149
271,43,19019,-1,-0.22,0.9765316000000489,1.2009015
272,101,19120,0,-0.22,0.9761680000000497,1.1986895
273,37,19157,-1,-0.22,0.9760348000000499,1.2010968
274,38,19195,-1,-0.25,0.9758980000000502,1.1862872
275,101,19296,0,-0.24,0.975534400000051,1.2197587
276,39,19335,-1,-0.24,0.9753940000000513,1.1902769
277,37,19372,0,-0.23,0.9752608000000516,1.201349
278,31,19403,0,-0.23,0.9751492000000518,1.1955218
279,58,19461,-1,-0.29,0.9749404000000522,1.2085865
280,68,19529,-1,-0.31,0.9746956000000527,1.1814411
281,101,19630,0,-0.3,0.9743320000000535,1.2084973
282,60,19690,0,-0.29,0.9741160000000539,1.1971538
283,41,19731,-1,-0.29,0.9739684000000542,1.2126284
284,51,19782,0,-0.28,0.9737848000000546,1.1918931
285,76,19858,-1,-0.28,0.9735112000000552,1.2162697
286,29,19887,-1,-0.28,0.9734068000000554,1.1823281
287,101,19988,0,-0.29,0.9730432000000562,1.1800965
288,66,20054,-1,-0.3,0.9728056000000567,1.1860921
289,55,20109,0,-0.29,0.9726076000000571,1.1857233
290,37,20146,-1,-0.29,0.9724744000000574,1.2121716
291,32,20178,-1,-0.3,0.9723592000000576,1.2028046
292,42,20220,-1,-0.3,0.9722080000000579,1.2171041
293,101,20321,0,-0.3,0.9718444000000587,1.1998456
294,49,20370,-1,-0.3,0.971668000000059,1.2002363
295,82,20452,-1,-0.37,0.9713728000000597,1.1951487
296,78,20530,-1,-0.38,0.9710920000000602,1.1911498
297,101,20631,0,-0.37,0.970728400000061,1.1981575
298,44,20675,-1,-0.4,0.9705700000000613,1.2017524
299,33,20708,-1,-0.4,0.9704512000000616,1.1971583
300,66,20774,0,-0.39,0.9702136000000621,1.1861017
301,58,20832,-1,-0.39,0.9700048000000625,1.1950341
302,23,20855,-1,-0.4,0.9699220000000627,1.1925995
303,27,20882,0,-0.4,0.9698248000000629,1.1932344
304,64,20946,-1,-0.41,0.9695944000000634,1.2012246
305,99,21045,-1,-0.41,0.9692380000000641,1.2077786
306,101,21146,0,-0.41,0.9688744000000649,1.2006415
307,70,21216,-1,-0.45,0.9686224000000654,1.1955312
308,40,21256,-1,-0.46,0.9684784000000657,1.1989563
309,73,21329,-1,-0.46,0.9682156000000662,1.1992308
310,50,21379,-1,-0.48,0.9680356000000666,1.2256937
311,26,21405,-1,-0.48,0.9679420000000668,1.1960971
312,33,21438,-1,-0.49,0.967823200000067,1.1957403
313,47,21485,-1,-0.49,0.9676540000000674,1.1815633
314,31,21516,-1,-0.49,0.9675424000000676,1.2093167
315,98,21614,0,-0.5,0.9671896000000684,1.1944447
316,44,21658,-1,-0.54,0.9670312000000687,1.1913592
317,33,21691,-1,-0.55,0.966912400000069,1.1900611
318,45,21736,-1,-0.55,0.9667504000000693,1.2089462
319,81,21817,-1,-0.55,0.9664588000000699,1.1957016
320,129,21946,0,-0.54,0.9659944000000709,1.20614
321,48,21994,-1,-0.55,0.9658216000000712,1.1953784
322,96,22090,0,-0.54,0.9654760000000719,1.198014
323,44,22134,-1,-0.54,0.9653176000000723,1.1963453
324,36,22170,0,-0.53,0.9651880000000725,1.2138771
325,55,22225,-1,-0.54,0.964990000000073,1.1815549
326,101,22326,0,-0.53,0.9646264000000737,1.2156281
327,101,22427,0,-0.52,0.9642628000000745,1.2009561
328,29,22456,-1,-0.52,0.9641584000000747,1.2016904
329,62,22518,-1,-0.53,0.9639352000000752,1.2107503
330,34,22552,-1,-0.53,0.9638128000000754,1.2115104
331,38,22590,0,-0.53,0.9636760000000757,1.1852202
332,76,22666,-1,-0.53,0.9634024000000763,1.2040904
333,46,22712,0,-0.54,0.9632368000000766,1.2119936
334,55,22767,-1,-0.54,0.963038800000077,1.2169797
335,35,22802,-1,-0.54,0.9629128000000773,1.2030973
336,100,22902,-1,-0.54,0.962552800000078,1.1888885
337,89,22991,-1,-0.54,0.9622324000000787,1.2020552
338,37,23028,-1,-0.54,0.962099200000079,1.2015104
339,40,23068,-1,-0.55,0.9619552000000793,1.1907219
340,57,23125,-1,-0.55,0.9617500000000797,1.1906943
341,91,23216,-1,-0.55,0.9614224000000804,1.2026956
342,68,23284,1,-0.53,0.9611776000000809,1.1904528
343,56,23340,-1,-0.53,0.9609760000000813,1.1886113
344,38,23378,0,-0.52,0.9608392000000816,1.2059354
345,84,23462,2,-0.5,0.9605368000000822,1.1890681
346,29,23491,-1,-0.5,0.9604324000000825,1.1956794
347,45,23536,-1,-0.51,0.9602704000000828,1.1973387
348,74,23610,-1,-0.52,0.9600040000000833,1.1892929
349,101,23711,0,-0.51,0.9596404000000841,1.2105814
350,38,23749,0,-0.5,0.9595036000000844,1.178093
351,63,23812,-1,-0.52,0.9592768000000849,1.1823893
352,50,23862,-1,-0.54,0.9590968000000852,1.1863943
353,81,23943,-1,-0.54,0.9588052000000858,1.1884549
354,45,23988,0,-0.55,0.9586432000000862,1.1684172
355,101,24089,0,-0.54,0.9582796000000869,1.2386551
356,61,24150,-1,-0.55,0.9580600000000874,1.1983469
357,101,24251,0,-0.54,0.9576964000000882,1.1837466
358,26,24277,-1,-0.55,0.9576028000000883,1.1846449
359,55,24332,-1,-0.55,0.9574048000000888,1.2067177
360,31,24363,0,-0.55,0.957293200000089,1.1759353
361,57,24420,-1,-0.56,0.9570880000000894,1.1760027
362,64,24484,1,-0.54,0.9568576000000899,1.1906548
363,80,24564,-1,-0.62,0.9565696000000905,1.1901944
364,46,24610,0,-0.61,0.9564040000000908,1.195504
365,101,24711,0,-0.61,0.9560404000000916,1.2050396
366,70,24781,-1,-0.61,0.9557884000000921,1.2190127
367,33,24814,-1,-0.61,0.9556696000000924,1.1977985
368,39,24853,0,-0.6,0.9555292000000927,1.156686
369,101,24954,0,-0.59,0.9551656000000934,1.199106
370,37,24991,-1,-0.6,0.9550324000000937,1.1943398
371,101,25092,0,-0.59,0.9546688000000945,1.1613042
372,92,25184,2,-0.57,0.9543376000000952,1.1702062
373,61,25245,-1,-0.57,0.9541180000000956,1.1923864
374,66,25311,0,-0.56,0.9538804000000961,1.1968436
375,40,25351,-1,-0.57,0.9537364000000964,1.197035
376,44,25395,-1,-0.57,0.9535780000000967,1.1814129
377,37,25432,0,-0.57,0.953444800000097,1.1782019
378,19,25451,-1,-0.58,0.9533764000000972,1.1759281
379,43,25494,-1,-0.58,0.9532216000000975,1.2023389
380,103,25597,2,-0.55,0.9528508000000983,1.1886473
381,120,25717,1,-0.54,0.9524188000000992,1.1736162
382,109,25826,1,-0.53,0.9520264000001,1.1690905
383,59,25885,-1,-0.53,0.9518140000001004,1.2008914
384,29,25914,0,-0.53,0.9517096000001006,1.1751388
385,99,26013,-1,-0.53,0.9513532000001014,1.1777848
386,157,26170,1,-0.51,0.9507880000001026,1.1965438
387,66,26236,-1,-0.52,0.950550400000103,1.194129
388,98,26334,-1,-0.52,0.9501976000001038,1.2034764
389,30,26364,-1,-0.53,0.950089600000104,1.20666
390,86,26450,2,-0.5,0.9497800000001047,1.1955326
391,88,26538,-1,-0.5,0.9494632000001053,1.1988442
392,57,26595,-1,-0.5,0.9492580000001057,1.2151366
393,119,26714,3,-0.47,0.9488296000001066,1.1892674
394,101,26815,0,-0.46,0.9484660000001074,1.2215308
395,48,26863,-1,-0.46,0.9482932000001077,1.1951128
396,75,26938,-1,-0.46,0.9480232000001083,1.2117548
397,97,27035,4,-0.42,0.947674000000109,1.2128595
398,81,27116,0,-0.41,0.9473824000001096,1.1873531
399,81,27197,-1,-0.41,0.9470908000001103,1.1971617
400,73,27270,-1,-0.42,0.9468280000001108,1.2070798
401,101,27371,0,-0.41,0.9464644000001116,1.196243
402,101,27472,0,-0.4,0.9461008000001123,1.1859096
403,41,27513,-1,-0.41,0.9459532000001126,1.197936
404,22,27535,-1,-0.41,0.9458740000001128,1.1882105
405,32,27567,0,-0.4,0.945758800000113,1.1932365
406,29,27596,-1,-0.41,0.9456544000001132,1.1802082
407,101,27697,0,-0.4,0.945290800000114,1.1972393
408,71,27768,0,-0.39,0.9450352000001145,1.2150359
409,57,27825,-1,-0.39,0.944830000000115,1.1835773
410,127,27952,7,-0.31,0.9443728000001159,1.2056952
411,63,28015,-1,-0.31,0.9441460000001164,1.1748364
412,93,28108,3,-0.27,0.9438112000001171,1.1973946
413,72,28180,-1,-0.27,0.9435520000001176,1.2104023
414,58,28238,-1,-0.27,0.9433432000001181,1.1909276
415,101,28339,0,-0.27,0.9429796000001188,1.2144561
416,132,28471,0,-0.26,0.9425044000001198,1.2001588
417,101,28572,0,-0.25,0.9421408000001206,1.1901311
418,42,28614,-1,-0.25,0.9419896000001209,1.2173235
419,42,28656,-1,-0.25,0.9418384000001212,1.2036694
420,88,28744,-1,-0.26,0.9415216000001219,1.2117496
421,67,28811,-1,-0.26,0.9412804000001224,1.186386
422,37,28848,-1,-0.27,0.9411472000001226,1.1896286
423,46,28894,0,-0.26,0.940981600000123,1.1994693
424,43,28937,-1,-0.27,0.9408268000001233,1.1820924
425,68,29005,1,-0.25,0.9405820000001238,1.211741
426,47,29052,-1,-0.26,0.9404128000001242,1.1839107
427,88,29140,-1,-0.27,0.9400960000001248,1.1806449
428,120,29260,0,-0.26,0.9396640000001257,1.1890098
429,191,29451,12,-0.13,0.9389764000001272,1.1663152
430,66,29517,2,-0.1,0.9387388000001277,1.2041762
431,80,29597,-1,-0.11,0.9384508000001283,1.1981527
432,72,29669,-1,-0.11,0.9381916000001288,1.2118801
